trial,s1,s2,s3,im1,im2,im3
0,5,15,60,s_5_r_5.png,s_15_r_3.png,s_60_r_9.png
1,25,50,60,s_25_r_9.png,s_50_r_3.png,s_60_r_9.png
2,60,33,15,s_60_r_9.png,s_33_r_3.png,s_15_r_2.png
3,50,33,20,s_50_r_7.png,s_33_r_1.png,s_20_r_10.png
4,5,50,60,s_5_r_10.png,s_50_r_2.png,s_60_r_6.png
5,50,33,10,s_50_r_4.png,s_33_r_5.png,s_10_r_2.png
6,33,25,15,s_33_r_4.png,s_25_r_1.png,s_15_r_1.png
7,15,40,60,s_15_r_2.png,s_40_r_8.png,s_60_r_9.png
8,5,33,40,s_5_r_4.png,s_33_r_2.png,s_40_r_5.png
9,25,15,10,s_25_r_9.png,s_15_r_6.png,s_10_r_10.png
10,10,25,40,s_10_r_2.png,s_25_r_3.png,s_40_r_9.png
11,40,33,20,s_40_r_6.png,s_33_r_4.png,s_20_r_6.png
12,60,40,25,s_60_r_5.png,s_40_r_4.png,s_25_r_6.png
13,10,25,33,s_10_r_3.png,s_25_r_2.png,s_33_r_6.png
14,60,33,10,s_60_r_8.png,s_33_r_4.png,s_10_r_7.png
15,50,33,5,s_50_r_5.png,s_33_r_4.png,s_5_r_5.png
16,25,10,5,s_25_r_4.png,s_10_r_6.png,s_5_r_6.png
17,50,40,10,s_50_r_2.png,s_40_r_1.png,s_10_r_3.png
18,60,15,10,s_60_r_8.png,s_15_r_2.png,s_10_r_10.png
19,20,15,5,s_20_r_8.png,s_15_r_9.png,s_5_r_6.png
20,33,15,5,s_33_r_3.png,s_15_r_8.png,s_5_r_7.png
21,15,50,60,s_15_r_5.png,s_50_r_10.png,s_60_r_5.png
22,10,20,33,s_10_r_2.png,s_20_r_8.png,s_33_r_3.png
23,20,40,60,s_20_r_6.png,s_40_r_2.png,s_60_r_6.png
24,25,15,5,s_25_r_7.png,s_15_r_6.png,s_5_r_10.png
25,5,10,15,s_5_r_8.png,s_10_r_2.png,s_15_r_6.png
26,15,20,60,s_15_r_5.png,s_20_r_6.png,s_60_r_8.png
27,10,20,40,s_10_r_9.png,s_20_r_4.png,s_40_r_7.png
28,25,33,40,s_25_r_7.png,s_33_r_4.png,s_40_r_3.png
29,10,15,33,s_10_r_8.png,s_15_r_2.png,s_33_r_5.png
30,10,25,50,s_10_r_6.png,s_25_r_8.png,s_50_r_4.png
31,25,20,10,s_25_r_4.png,s_20_r_3.png,s_10_r_3.png
32,60,50,10,s_60_r_8.png,s_50_r_1.png,s_10_r_1.png
33,5,10,50,s_5_r_1.png,s_10_r_2.png,s_50_r_8.png
34,50,20,10,s_50_r_9.png,s_20_r_4.png,s_10_r_6.png
35,25,20,5,s_25_r_4.png,s_20_r_3.png,s_5_r_1.png
36,40,25,20,s_40_r_3.png,s_25_r_1.png,s_20_r_1.png
37,60,50,20,s_60_r_6.png,s_50_r_7.png,s_20_r_4.png
38,40,10,5,s_40_r_2.png,s_10_r_10.png,s_5_r_10.png
39,10,33,40,s_10_r_8.png,s_33_r_9.png,s_40_r_2.png
40,20,25,33,s_20_r_6.png,s_25_r_9.png,s_33_r_10.png
41,50,15,10,s_50_r_1.png,s_15_r_2.png,s_10_r_1.png
42,60,25,20,s_60_r_3.png,s_25_r_6.png,s_20_r_8.png
43,33,50,60,s_33_r_3.png,s_50_r_2.png,s_60_r_1.png
44,33,10,5,s_33_r_3.png,s_10_r_1.png,s_5_r_4.png
45,40,33,15,s_40_r_10.png,s_33_r_10.png,s_15_r_4.png
46,5,20,60,s_5_r_5.png,s_20_r_8.png,s_60_r_10.png
47,33,20,5,s_33_r_6.png,s_20_r_9.png,s_5_r_3.png
48,50,20,15,s_50_r_10.png,s_20_r_10.png,s_15_r_9.png
49,5,25,50,s_5_r_7.png,s_25_r_7.png,s_50_r_7.png
50,5,10,60,s_5_r_5.png,s_10_r_10.png,s_60_r_4.png
51,50,40,5,s_50_r_6.png,s_40_r_5.png,s_5_r_4.png
52,15,20,25,s_15_r_6.png,s_20_r_3.png,s_25_r_2.png
53,60,33,25,s_60_r_2.png,s_33_r_5.png,s_25_r_5.png
54,10,15,40,s_10_r_8.png,s_15_r_2.png,s_40_r_9.png
55,50,40,20,s_50_r_5.png,s_40_r_1.png,s_20_r_4.png
56,15,40,50,s_15_r_1.png,s_40_r_5.png,s_50_r_5.png
57,15,25,40,s_15_r_2.png,s_25_r_4.png,s_40_r_5.png
58,50,20,5,s_50_r_6.png,s_20_r_7.png,s_5_r_2.png
59,5,25,60,s_5_r_1.png,s_25_r_6.png,s_60_r_1.png
60,5,40,60,s_5_r_3.png,s_40_r_4.png,s_60_r_10.png
61,33,40,60,s_33_r_9.png,s_40_r_2.png,s_60_r_4.png
62,60,20,10,s_60_r_2.png,s_20_r_3.png,s_10_r_10.png
63,15,20,33,s_15_r_1.png,s_20_r_9.png,s_33_r_7.png
64,5,15,50,s_5_r_8.png,s_15_r_7.png,s_50_r_7.png
65,33,25,5,s_33_r_2.png,s_25_r_2.png,s_5_r_10.png
66,5,33,60,s_5_r_1.png,s_33_r_2.png,s_60_r_8.png
67,25,33,50,s_25_r_8.png,s_33_r_8.png,s_50_r_10.png
68,60,50,40,s_60_r_5.png,s_50_r_7.png,s_40_r_9.png
69,20,33,60,s_20_r_5.png,s_33_r_1.png,s_60_r_2.png
70,10,25,60,s_10_r_6.png,s_25_r_5.png,s_60_r_5.png
71,40,15,5,s_40_r_10.png,s_15_r_2.png,s_5_r_1.png
72,5,10,20,s_5_r_8.png,s_10_r_3.png,s_20_r_5.png
73,5,25,40,s_5_r_6.png,s_25_r_3.png,s_40_r_10.png
74,40,20,15,s_40_r_2.png,s_20_r_3.png,s_15_r_6.png
75,50,40,25,s_50_r_6.png,s_40_r_7.png,s_25_r_8.png
76,50,33,15,s_50_r_7.png,s_33_r_1.png,s_15_r_1.png
77,50,25,15,s_50_r_1.png,s_25_r_7.png,s_15_r_4.png
78,20,15,10,s_20_r_5.png,s_15_r_9.png,s_10_r_10.png
79,50,40,33,s_50_r_2.png,s_40_r_5.png,s_33_r_9.png
80,50,25,20,s_50_r_1.png,s_25_r_5.png,s_20_r_7.png
81,10,40,60,s_10_r_2.png,s_40_r_5.png,s_60_r_5.png
82,40,20,5,s_40_r_8.png,s_20_r_1.png,s_5_r_3.png
83,60,25,15,s_60_r_10.png,s_25_r_6.png,s_15_r_4.png
