trial,s1,s2,s3,im1,im2,im3
0,60,20,5,s_60_r_2.png,s_20_r_7.png,s_5_r_6.png
1,50,33,10,s_50_r_2.png,s_33_r_8.png,s_10_r_3.png
2,60,10,5,s_60_r_5.png,s_10_r_8.png,s_5_r_2.png
3,10,33,60,s_10_r_3.png,s_33_r_8.png,s_60_r_9.png
4,5,33,60,s_5_r_2.png,s_33_r_4.png,s_60_r_10.png
5,10,15,33,s_10_r_10.png,s_15_r_7.png,s_33_r_8.png
6,20,15,5,s_20_r_7.png,s_15_r_8.png,s_5_r_7.png
7,5,33,50,s_5_r_4.png,s_33_r_2.png,s_50_r_1.png
8,33,25,5,s_33_r_1.png,s_25_r_9.png,s_5_r_9.png
9,15,20,40,s_15_r_10.png,s_20_r_4.png,s_40_r_5.png
10,40,20,10,s_40_r_3.png,s_20_r_10.png,s_10_r_10.png
11,50,25,5,s_50_r_5.png,s_25_r_10.png,s_5_r_3.png
12,20,33,40,s_20_r_9.png,s_33_r_3.png,s_40_r_5.png
13,10,33,40,s_10_r_3.png,s_33_r_3.png,s_40_r_6.png
14,60,40,25,s_60_r_6.png,s_40_r_4.png,s_25_r_5.png
15,5,10,15,s_5_r_7.png,s_10_r_3.png,s_15_r_10.png
16,25,40,50,s_25_r_9.png,s_40_r_1.png,s_50_r_6.png
17,5,10,33,s_5_r_7.png,s_10_r_4.png,s_33_r_2.png
18,33,50,60,s_33_r_10.png,s_50_r_4.png,s_60_r_9.png
19,60,33,15,s_60_r_5.png,s_33_r_5.png,s_15_r_2.png
20,40,33,25,s_40_r_4.png,s_33_r_10.png,s_25_r_3.png
21,5,15,25,s_5_r_5.png,s_15_r_7.png,s_25_r_8.png
22,60,50,5,s_60_r_4.png,s_50_r_2.png,s_5_r_3.png
23,60,25,15,s_60_r_1.png,s_25_r_10.png,s_15_r_9.png
24,60,40,33,s_60_r_7.png,s_40_r_5.png,s_33_r_1.png
25,20,25,60,s_20_r_2.png,s_25_r_3.png,s_60_r_8.png
26,5,10,20,s_5_r_7.png,s_10_r_3.png,s_20_r_10.png
27,50,20,5,s_50_r_10.png,s_20_r_7.png,s_5_r_7.png
28,60,33,25,s_60_r_5.png,s_33_r_9.png,s_25_r_6.png
29,33,15,5,s_33_r_9.png,s_15_r_8.png,s_5_r_2.png
30,10,25,40,s_10_r_9.png,s_25_r_5.png,s_40_r_1.png
31,40,33,5,s_40_r_1.png,s_33_r_4.png,s_5_r_4.png
32,60,50,20,s_60_r_3.png,s_50_r_10.png,s_20_r_10.png
33,10,40,60,s_10_r_8.png,s_40_r_2.png,s_60_r_4.png
34,15,20,60,s_15_r_8.png,s_20_r_4.png,s_60_r_7.png
35,33,25,20,s_33_r_7.png,s_25_r_4.png,s_20_r_3.png
36,60,40,20,s_60_r_5.png,s_40_r_6.png,s_20_r_1.png
37,10,40,50,s_10_r_7.png,s_40_r_8.png,s_50_r_9.png
38,10,20,33,s_10_r_1.png,s_20_r_10.png,s_33_r_8.png
39,33,25,10,s_33_r_7.png,s_25_r_10.png,s_10_r_7.png
40,50,10,5,s_50_r_2.png,s_10_r_10.png,s_5_r_7.png
41,5,40,50,s_5_r_7.png,s_40_r_9.png,s_50_r_5.png
42,60,33,20,s_60_r_8.png,s_33_r_9.png,s_20_r_9.png
43,15,25,33,s_15_r_8.png,s_25_r_9.png,s_33_r_4.png
44,5,10,40,s_5_r_10.png,s_10_r_1.png,s_40_r_7.png
45,20,15,10,s_20_r_1.png,s_15_r_7.png,s_10_r_6.png
46,10,20,25,s_10_r_9.png,s_20_r_3.png,s_25_r_10.png
47,50,40,20,s_50_r_3.png,s_40_r_4.png,s_20_r_7.png
48,40,25,5,s_40_r_10.png,s_25_r_3.png,s_5_r_4.png
49,20,25,50,s_20_r_1.png,s_25_r_10.png,s_50_r_6.png
50,60,40,15,s_60_r_3.png,s_40_r_8.png,s_15_r_9.png
51,10,15,60,s_10_r_9.png,s_15_r_5.png,s_60_r_8.png
52,50,40,33,s_50_r_3.png,s_40_r_8.png,s_33_r_10.png
53,25,50,60,s_25_r_7.png,s_50_r_10.png,s_60_r_2.png
54,50,25,15,s_50_r_3.png,s_25_r_8.png,s_15_r_1.png
55,60,15,5,s_60_r_5.png,s_15_r_9.png,s_5_r_3.png
56,60,20,10,s_60_r_1.png,s_20_r_7.png,s_10_r_2.png
57,40,15,5,s_40_r_7.png,s_15_r_1.png,s_5_r_1.png
58,10,50,60,s_10_r_6.png,s_50_r_3.png,s_60_r_7.png
59,5,20,33,s_5_r_6.png,s_20_r_3.png,s_33_r_6.png
60,25,33,50,s_25_r_4.png,s_33_r_5.png,s_50_r_1.png
61,50,33,15,s_50_r_8.png,s_33_r_5.png,s_15_r_3.png
62,15,50,60,s_15_r_10.png,s_50_r_2.png,s_60_r_8.png
63,40,25,15,s_40_r_7.png,s_25_r_1.png,s_15_r_9.png
64,20,33,50,s_20_r_2.png,s_33_r_4.png,s_50_r_10.png
65,60,40,5,s_60_r_3.png,s_40_r_1.png,s_5_r_6.png
66,5,20,25,s_5_r_7.png,s_20_r_4.png,s_25_r_8.png
67,60,25,5,s_60_r_9.png,s_25_r_8.png,s_5_r_1.png
68,50,25,10,s_50_r_2.png,s_25_r_5.png,s_10_r_4.png
69,25,10,5,s_25_r_9.png,s_10_r_9.png,s_5_r_5.png
70,10,25,60,s_10_r_5.png,s_25_r_9.png,s_60_r_9.png
71,25,15,10,s_25_r_1.png,s_15_r_2.png,s_10_r_8.png
72,50,40,15,s_50_r_2.png,s_40_r_7.png,s_15_r_5.png
73,40,25,20,s_40_r_5.png,s_25_r_6.png,s_20_r_5.png
74,40,20,5,s_40_r_2.png,s_20_r_5.png,s_5_r_7.png
