trial,s1,s2,s3,im1,im2,im3
0,5,10,15,s_5_r_3.png,s_10_r_7.png,s_15_r_7.png
1,30,15,5,s_30_r_4.png,s_15_r_2.png,s_5_r_4.png
2,60,30,25,s_60_r_9.png,s_30_r_8.png,s_25_r_9.png
3,60,20,10,s_60_r_9.png,s_20_r_5.png,s_10_r_2.png
4,60,30,10,s_60_r_3.png,s_30_r_4.png,s_10_r_8.png
5,10,30,40,s_10_r_6.png,s_30_r_6.png,s_40_r_2.png
6,30,25,15,s_30_r_3.png,s_25_r_5.png,s_15_r_8.png
7,15,20,50,s_15_r_9.png,s_20_r_5.png,s_50_r_8.png
8,20,25,50,s_20_r_4.png,s_25_r_2.png,s_50_r_2.png
9,15,20,60,s_15_r_7.png,s_20_r_9.png,s_60_r_9.png
10,60,50,40,s_60_r_9.png,s_50_r_9.png,s_40_r_3.png
11,25,40,60,s_25_r_4.png,s_40_r_7.png,s_60_r_1.png
12,5,30,60,s_5_r_2.png,s_30_r_9.png,s_60_r_3.png
13,40,30,5,s_40_r_2.png,s_30_r_6.png,s_5_r_5.png
14,50,30,20,s_50_r_4.png,s_30_r_5.png,s_20_r_7.png
15,50,30,5,s_50_r_8.png,s_30_r_3.png,s_5_r_10.png
16,50,25,10,s_50_r_10.png,s_25_r_5.png,s_10_r_4.png
17,30,40,50,s_30_r_7.png,s_40_r_1.png,s_50_r_4.png
18,20,15,5,s_20_r_3.png,s_15_r_5.png,s_5_r_4.png
19,40,30,25,s_40_r_10.png,s_30_r_5.png,s_25_r_1.png
20,25,20,5,s_25_r_7.png,s_20_r_9.png,s_5_r_8.png
21,10,20,40,s_10_r_8.png,s_20_r_5.png,s_40_r_6.png
22,60,40,20,s_60_r_1.png,s_40_r_1.png,s_20_r_9.png
23,15,25,40,s_15_r_4.png,s_25_r_5.png,s_40_r_5.png
24,25,15,10,s_25_r_7.png,s_15_r_10.png,s_10_r_3.png
25,60,25,15,s_60_r_2.png,s_25_r_2.png,s_15_r_9.png
26,15,40,60,s_15_r_5.png,s_40_r_5.png,s_60_r_8.png
27,20,25,30,s_20_r_7.png,s_25_r_2.png,s_30_r_2.png
28,25,50,60,s_25_r_9.png,s_50_r_6.png,s_60_r_2.png
29,5,20,50,s_5_r_8.png,s_20_r_6.png,s_50_r_8.png
30,40,20,5,s_40_r_3.png,s_20_r_5.png,s_5_r_7.png
31,50,25,5,s_50_r_3.png,s_25_r_4.png,s_5_r_3.png
32,60,40,30,s_60_r_6.png,s_40_r_6.png,s_30_r_7.png
33,15,20,25,s_15_r_1.png,s_20_r_4.png,s_25_r_10.png
34,10,20,50,s_10_r_1.png,s_20_r_7.png,s_50_r_7.png
35,10,20,25,s_10_r_4.png,s_20_r_3.png,s_25_r_6.png
36,60,50,20,s_60_r_3.png,s_50_r_5.png,s_20_r_10.png
37,50,40,25,s_50_r_7.png,s_40_r_6.png,s_25_r_2.png
38,15,20,30,s_15_r_2.png,s_20_r_10.png,s_30_r_3.png
39,40,25,20,s_40_r_6.png,s_25_r_2.png,s_20_r_6.png
40,10,50,60,s_10_r_10.png,s_50_r_8.png,s_60_r_10.png
41,15,20,40,s_15_r_6.png,s_20_r_9.png,s_40_r_10.png
42,5,10,25,s_5_r_10.png,s_10_r_1.png,s_25_r_2.png
