trial,s1,s2,s3,im1,im2,im3
0,25,20,15,s_25_r_8.png,s_20_r_10.png,s_15_r_9.png
1,60,40,33,s_60_r_4.png,s_40_r_3.png,s_33_r_10.png
2,20,25,60,s_20_r_1.png,s_25_r_1.png,s_60_r_10.png
3,5,10,15,s_5_r_10.png,s_10_r_2.png,s_15_r_3.png
4,50,25,5,s_50_r_9.png,s_25_r_1.png,s_5_r_7.png
5,33,25,10,s_33_r_7.png,s_25_r_7.png,s_10_r_10.png
6,50,25,10,s_50_r_4.png,s_25_r_6.png,s_10_r_10.png
7,15,25,60,s_15_r_2.png,s_25_r_9.png,s_60_r_3.png
8,5,15,20,s_5_r_3.png,s_15_r_5.png,s_20_r_10.png
9,5,25,33,s_5_r_10.png,s_25_r_5.png,s_33_r_3.png
10,15,33,40,s_15_r_8.png,s_33_r_7.png,s_40_r_7.png
11,10,15,50,s_10_r_9.png,s_15_r_9.png,s_50_r_1.png
12,25,33,50,s_25_r_5.png,s_33_r_10.png,s_50_r_9.png
13,15,33,60,s_15_r_2.png,s_33_r_3.png,s_60_r_10.png
14,5,20,33,s_5_r_5.png,s_20_r_9.png,s_33_r_5.png
15,40,50,60,s_40_r_3.png,s_50_r_3.png,s_60_r_2.png
16,5,20,25,s_5_r_7.png,s_20_r_1.png,s_25_r_2.png
17,10,15,20,s_10_r_1.png,s_15_r_7.png,s_20_r_4.png
18,15,20,40,s_15_r_9.png,s_20_r_5.png,s_40_r_2.png
19,5,20,60,s_5_r_3.png,s_20_r_1.png,s_60_r_10.png
20,20,40,60,s_20_r_2.png,s_40_r_2.png,s_60_r_10.png
21,50,40,15,s_50_r_5.png,s_40_r_4.png,s_15_r_5.png
22,60,15,5,s_60_r_10.png,s_15_r_3.png,s_5_r_7.png
23,5,40,60,s_5_r_3.png,s_40_r_10.png,s_60_r_6.png
24,40,25,20,s_40_r_10.png,s_25_r_5.png,s_20_r_1.png
25,60,50,33,s_60_r_8.png,s_50_r_5.png,s_33_r_3.png
