trial,s1,s2,s3,im1,im2,im3
26,10,20,60,s_10_r_9.png,s_20_r_10.png,s_60_r_6.png
27,5,15,33,s_5_r_2.png,s_15_r_8.png,s_33_r_2.png
28,50,33,5,s_50_r_2.png,s_33_r_2.png,s_5_r_5.png
29,60,50,5,s_60_r_5.png,s_50_r_6.png,s_5_r_10.png
30,60,10,5,s_60_r_4.png,s_10_r_7.png,s_5_r_2.png
31,60,33,20,s_60_r_8.png,s_33_r_4.png,s_20_r_9.png
32,60,40,15,s_60_r_10.png,s_40_r_10.png,s_15_r_2.png
33,20,25,50,s_20_r_1.png,s_25_r_3.png,s_50_r_1.png
34,10,15,40,s_10_r_1.png,s_15_r_3.png,s_40_r_9.png
35,10,25,60,s_10_r_5.png,s_25_r_2.png,s_60_r_6.png
36,20,33,40,s_20_r_2.png,s_33_r_7.png,s_40_r_1.png
37,5,15,25,s_5_r_8.png,s_15_r_5.png,s_25_r_6.png
38,40,33,10,s_40_r_5.png,s_33_r_4.png,s_10_r_3.png
39,5,40,50,s_5_r_1.png,s_40_r_4.png,s_50_r_3.png
40,10,20,25,s_10_r_6.png,s_20_r_9.png,s_25_r_7.png
41,60,15,10,s_60_r_1.png,s_15_r_5.png,s_10_r_2.png
42,50,33,10,s_50_r_7.png,s_33_r_6.png,s_10_r_4.png
43,5,25,40,s_5_r_2.png,s_25_r_7.png,s_40_r_3.png
44,33,20,10,s_33_r_9.png,s_20_r_3.png,s_10_r_7.png
45,50,40,25,s_50_r_10.png,s_40_r_10.png,s_25_r_7.png
46,15,20,33,s_15_r_3.png,s_20_r_9.png,s_33_r_7.png
47,5,10,33,s_5_r_9.png,s_10_r_4.png,s_33_r_6.png
48,60,25,5,s_60_r_2.png,s_25_r_2.png,s_5_r_1.png
49,20,50,60,s_20_r_3.png,s_50_r_7.png,s_60_r_4.png
50,50,40,20,s_50_r_8.png,s_40_r_7.png,s_20_r_5.png
51,33,25,20,s_33_r_5.png,s_25_r_1.png,s_20_r_9.png
52,60,50,15,s_60_r_1.png,s_50_r_7.png,s_15_r_7.png
53,25,15,10,s_25_r_3.png,s_15_r_4.png,s_10_r_1.png
54,60,40,10,s_60_r_3.png,s_40_r_7.png,s_10_r_2.png
55,5,10,25,s_5_r_6.png,s_10_r_1.png,s_25_r_10.png
56,40,10,5,s_40_r_5.png,s_10_r_6.png,s_5_r_7.png
57,15,20,60,s_15_r_3.png,s_20_r_7.png,s_60_r_6.png
58,10,20,40,s_10_r_6.png,s_20_r_10.png,s_40_r_4.png
59,10,33,60,s_10_r_4.png,s_33_r_2.png,s_60_r_2.png
60,60,33,5,s_60_r_5.png,s_33_r_10.png,s_5_r_9.png
61,60,50,10,s_60_r_5.png,s_50_r_10.png,s_10_r_7.png
62,50,40,10,s_50_r_7.png,s_40_r_5.png,s_10_r_4.png
63,25,33,60,s_25_r_3.png,s_33_r_10.png,s_60_r_2.png
64,50,40,33,s_50_r_6.png,s_40_r_7.png,s_33_r_7.png
65,5,33,40,s_5_r_9.png,s_33_r_9.png,s_40_r_3.png
66,15,33,50,s_15_r_9.png,s_33_r_1.png,s_50_r_6.png
67,5,15,40,s_5_r_1.png,s_15_r_2.png,s_40_r_2.png
68,10,25,40,s_10_r_2.png,s_25_r_5.png,s_40_r_5.png
69,10,15,33,s_10_r_8.png,s_15_r_8.png,s_33_r_10.png
70,5,10,20,s_5_r_5.png,s_10_r_1.png,s_20_r_1.png
71,5,15,50,s_5_r_10.png,s_15_r_4.png,s_50_r_9.png
72,15,25,40,s_15_r_2.png,s_25_r_9.png,s_40_r_5.png
73,5,10,50,s_5_r_3.png,s_10_r_1.png,s_50_r_1.png
74,5,20,40,s_5_r_7.png,s_20_r_7.png,s_40_r_1.png
75,50,33,20,s_50_r_10.png,s_33_r_1.png,s_20_r_4.png
76,50,20,5,s_50_r_8.png,s_20_r_6.png,s_5_r_10.png
77,60,50,25,s_60_r_9.png,s_50_r_1.png,s_25_r_10.png
78,15,25,33,s_15_r_7.png,s_25_r_5.png,s_33_r_6.png
79,15,25,50,s_15_r_6.png,s_25_r_4.png,s_50_r_3.png
80,50,20,15,s_50_r_8.png,s_20_r_7.png,s_15_r_10.png
81,40,33,25,s_40_r_7.png,s_33_r_3.png,s_25_r_7.png
82,10,20,50,s_10_r_9.png,s_20_r_7.png,s_50_r_6.png
83,25,40,60,s_25_r_9.png,s_40_r_5.png,s_60_r_10.png
