trial,s1,s2,s3,im1,im2,im3
0,50,40,25,s_50_r_4.png,s_40_r_5.png,s_25_r_6.png
1,10,15,30,s_10_r_7.png,s_15_r_6.png,s_30_r_2.png
2,60,40,5,s_60_r_2.png,s_40_r_1.png,s_5_r_10.png
3,15,50,60,s_15_r_1.png,s_50_r_6.png,s_60_r_6.png
4,50,20,15,s_50_r_10.png,s_20_r_5.png,s_15_r_6.png
5,60,50,40,s_60_r_6.png,s_50_r_9.png,s_40_r_2.png
6,5,50,60,s_5_r_5.png,s_50_r_8.png,s_60_r_9.png
7,60,20,5,s_60_r_5.png,s_20_r_1.png,s_5_r_10.png
8,30,25,20,s_30_r_2.png,s_25_r_2.png,s_20_r_9.png
9,10,15,50,s_10_r_3.png,s_15_r_6.png,s_50_r_3.png
10,40,30,20,s_40_r_6.png,s_30_r_4.png,s_20_r_6.png
11,40,25,10,s_40_r_1.png,s_25_r_8.png,s_10_r_8.png
12,15,40,60,s_15_r_1.png,s_40_r_2.png,s_60_r_10.png
13,30,10,5,s_30_r_1.png,s_10_r_1.png,s_5_r_4.png
14,25,30,60,s_25_r_2.png,s_30_r_2.png,s_60_r_9.png
15,60,15,5,s_60_r_4.png,s_15_r_9.png,s_5_r_1.png
16,5,10,50,s_5_r_1.png,s_10_r_10.png,s_50_r_3.png
17,10,20,25,s_10_r_2.png,s_20_r_6.png,s_25_r_2.png
18,60,30,15,s_60_r_3.png,s_30_r_8.png,s_15_r_7.png
19,5,10,20,s_5_r_1.png,s_10_r_6.png,s_20_r_10.png
20,20,25,60,s_20_r_7.png,s_25_r_5.png,s_60_r_2.png
21,60,25,10,s_60_r_1.png,s_25_r_3.png,s_10_r_5.png
22,30,25,15,s_30_r_5.png,s_25_r_8.png,s_15_r_2.png
23,25,20,15,s_25_r_3.png,s_20_r_2.png,s_15_r_5.png
24,40,10,5,s_40_r_5.png,s_10_r_9.png,s_5_r_9.png
25,5,10,15,s_5_r_10.png,s_10_r_10.png,s_15_r_8.png
26,5,20,50,s_5_r_5.png,s_20_r_10.png,s_50_r_2.png
27,5,25,60,s_5_r_10.png,s_25_r_10.png,s_60_r_2.png
28,5,20,30,s_5_r_4.png,s_20_r_2.png,s_30_r_6.png
29,5,15,25,s_5_r_10.png,s_15_r_10.png,s_25_r_6.png
30,25,30,40,s_25_r_2.png,s_30_r_7.png,s_40_r_7.png
31,60,20,15,s_60_r_8.png,s_20_r_9.png,s_15_r_5.png
32,5,40,50,s_5_r_10.png,s_40_r_7.png,s_50_r_3.png
33,50,40,10,s_50_r_3.png,s_40_r_4.png,s_10_r_9.png
34,10,15,40,s_10_r_3.png,s_15_r_5.png,s_40_r_6.png
35,5,25,40,s_5_r_8.png,s_25_r_1.png,s_40_r_10.png
36,25,40,60,s_25_r_2.png,s_40_r_5.png,s_60_r_5.png
37,25,30,50,s_25_r_5.png,s_30_r_5.png,s_50_r_1.png
38,60,40,10,s_60_r_10.png,s_40_r_3.png,s_10_r_6.png
39,25,10,5,s_25_r_6.png,s_10_r_3.png,s_5_r_10.png
40,30,40,60,s_30_r_1.png,s_40_r_5.png,s_60_r_8.png
41,5,30,60,s_5_r_1.png,s_30_r_8.png,s_60_r_3.png
42,20,30,50,s_20_r_10.png,s_30_r_6.png,s_50_r_3.png
43,5,20,40,s_5_r_8.png,s_20_r_6.png,s_40_r_3.png
44,40,30,15,s_40_r_5.png,s_30_r_2.png,s_15_r_4.png
45,50,30,10,s_50_r_9.png,s_30_r_9.png,s_10_r_9.png
46,50,30,5,s_50_r_3.png,s_30_r_6.png,s_5_r_10.png
47,40,30,10,s_40_r_5.png,s_30_r_5.png,s_10_r_10.png
48,40,20,10,s_40_r_8.png,s_20_r_9.png,s_10_r_1.png
49,5,10,60,s_5_r_2.png,s_10_r_6.png,s_60_r_1.png
50,10,15,60,s_10_r_1.png,s_15_r_10.png,s_60_r_10.png
51,25,50,60,s_25_r_4.png,s_50_r_1.png,s_60_r_1.png
52,5,25,30,s_5_r_1.png,s_25_r_6.png,s_30_r_2.png
53,10,25,30,s_10_r_9.png,s_25_r_8.png,s_30_r_4.png
54,30,40,50,s_30_r_6.png,s_40_r_10.png,s_50_r_2.png
55,20,30,60,s_20_r_7.png,s_30_r_7.png,s_60_r_8.png
56,10,15,20,s_10_r_6.png,s_15_r_8.png,s_20_r_5.png
57,60,25,15,s_60_r_9.png,s_25_r_3.png,s_15_r_1.png
58,25,15,10,s_25_r_9.png,s_15_r_9.png,s_10_r_7.png
59,10,20,30,s_10_r_7.png,s_20_r_8.png,s_30_r_2.png
60,40,20,15,s_40_r_5.png,s_20_r_9.png,s_15_r_5.png
61,40,15,5,s_40_r_1.png,s_15_r_3.png,s_5_r_8.png
62,60,50,10,s_60_r_4.png,s_50_r_3.png,s_10_r_6.png
63,20,15,5,s_20_r_7.png,s_15_r_10.png,s_5_r_2.png
64,50,40,20,s_50_r_7.png,s_40_r_6.png,s_20_r_3.png
65,50,25,20,s_50_r_2.png,s_25_r_9.png,s_20_r_7.png
66,40,25,20,s_40_r_4.png,s_25_r_8.png,s_20_r_7.png
67,5,20,25,s_5_r_2.png,s_20_r_3.png,s_25_r_7.png
68,10,20,50,s_10_r_5.png,s_20_r_10.png,s_50_r_3.png
69,60,40,20,s_60_r_6.png,s_40_r_1.png,s_20_r_3.png
70,20,50,60,s_20_r_5.png,s_50_r_8.png,s_60_r_9.png
71,30,50,60,s_30_r_2.png,s_50_r_10.png,s_60_r_6.png
72,50,25,10,s_50_r_10.png,s_25_r_1.png,s_10_r_5.png
73,10,30,60,s_10_r_6.png,s_30_r_10.png,s_60_r_6.png
74,15,30,50,s_15_r_1.png,s_30_r_9.png,s_50_r_4.png
75,30,15,5,s_30_r_4.png,s_15_r_1.png,s_5_r_4.png
