instruct.started,instruct.stopped,session,participant,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial,s1,s2,s3,im1,im2,im3,thanks.started,thanks.stopped
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,45.8638,47.23,right,0.825,,0,20,20,20,1,20,10,50,60,s_10_r_2.png,s_50_r_1.png,s_60_r_8.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,47.2316,49.7819,left,2.0087,,0,21,21,21,1,21,40,30,15,s_40_r_5.png,s_30_r_8.png,s_15_r_8.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,49.7833,51.0665,right,0.7506,,0,22,22,22,1,22,15,40,60,s_15_r_3.png,s_40_r_4.png,s_60_r_7.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,51.0678,52.9182,left,1.3148,,0,23,23,23,1,23,15,25,60,s_15_r_3.png,s_25_r_7.png,s_60_r_4.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,52.9191,54.5362,left,1.0758,,0,24,24,24,1,24,60,40,10,s_60_r_3.png,s_40_r_1.png,s_10_r_3.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,54.5378,56.3704,right,1.2905,,0,25,25,25,1,25,50,15,10,s_50_r_2.png,s_15_r_2.png,s_10_r_3.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,56.3707,57.8389,left,0.9403,,0,26,26,26,1,26,40,25,5,s_40_r_3.png,s_25_r_7.png,s_5_r_3.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,57.8404,60.7916,right,2.4072,,0,27,27,27,1,27,50,25,10,s_50_r_7.png,s_25_r_3.png,s_10_r_10.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,60.793,62.9099,right,1.5792,,0,28,28,28,1,28,30,20,10,s_30_r_7.png,s_20_r_1.png,s_10_r_10.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,62.9109,64.6452,left,1.1913,,0,29,29,29,1,29,5,15,40,s_5_r_3.png,s_15_r_5.png,s_40_r_2.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,64.6468,66.2963,left,1.1106,,0,30,30,30,1,30,40,25,10,s_40_r_9.png,s_25_r_3.png,s_10_r_1.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,66.2979,67.6807,left,0.8395,,0,31,31,31,1,31,5,15,60,s_5_r_5.png,s_15_r_4.png,s_60_r_6.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,67.6822,72.968,right,4.7496,,0,32,32,32,1,32,5,10,15,s_5_r_5.png,s_10_r_1.png,s_15_r_2.png,,
,,1,GA1,2025-08-14_17h50.47.743,mlds_experiment_numerosity_triads,2025.1.1,Linux x86_64,59.88023952,72.9687,75.6038,right,2.1056,,0,33,33,33,1,33,10,25,30,s_10_r_5.png,s_25_r_8.png,s_30_r_6.png,,
