trial,lum1,lum2,c1,c2,im,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.007848501205444336,0.011729717254638672,0.011729717254638672,0.44217705726623535,,,,,,,,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
0,0.42,0.5,1.0,1.0,imgs/white_0.42_0.5_1.0_1.0.png,0,0,0,right,0.6868906021118164,None,0,0,0,0,0.4741191864013672,,,,,,0.4654848575592041,0.9558520317077637,0.9558520317077637,1.6564064025878906,right,0.6868906021118164,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
1,0.25,0.58,0.0,1.0,imgs/white_0.25_0.58_0.0_1.0.png,1,1,0,right,0.601909875869751,None,0,1,1,1,1.6702055931091309,,,,,,1.663938283920288,2.168808698654175,2.168808698654175,2.789034128189087,right,0.601909875869751,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
2,0.33,0.67,0.0,0.0,imgs/white_0.33_0.67_0.0_0.0.png,2,2,0,right,0.4993278980255127,None,0,2,2,2,2.8024003505706787,,,,,,2.7962214946746826,3.303406000137329,3.303406000137329,3.8059325218200684,right,0.4993278980255127,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
3,0.58,0.33,1.0,1.0,imgs/white_0.58_0.33_1.0_1.0.png,3,3,0,left,0.5863769054412842,None,0,3,3,3,3.820164442062378,,,,,,3.8128533363342285,4.320665597915649,4.320665597915649,4.92433500289917,left,0.5863769054412842,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
4,0.25,0.75,0.0,1.0,imgs/white_0.25_0.75_0.0_1.0.png,4,4,0,right,0.5160970687866211,None,0,4,4,4,4.942690849304199,,,,,,4.935886383056641,5.4385457038879395,5.4385457038879395,5.958049297332764,right,0.5160970687866211,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
5,0.67,0.42,1.0,1.0,imgs/white_0.67_0.42_1.0_1.0.png,5,5,0,left,0.570310115814209,None,0,5,5,5,5.9727020263671875,,,,,,5.965495824813843,6.472471237182617,6.472471237182617,7.059612989425659,left,0.570310115814209,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
6,0.5,0.33,0.0,0.0,imgs/white_0.5_0.33_0.0_0.0.png,6,6,0,left,0.6130824089050293,None,0,6,6,6,7.074753761291504,,,,,,7.066287279129028,7.573767423629761,7.573767423629761,8.19312572479248,left,0.6130824089050293,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
7,0.42,0.33,0.0,0.0,imgs/white_0.42_0.33_0.0_0.0.png,7,7,0,left,0.8211042881011963,None,0,7,7,7,8.210361957550049,,,,,,8.199721574783325,8.709646463394165,8.709646463394165,9.544428586959839,left,0.8211042881011963,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
8,0.25,0.58,0.0,0.0,imgs/white_0.25_0.58_0.0_0.0.png,8,8,0,right,0.5040256977081299,None,0,8,8,8,9.560316324234009,,,,,,9.551507711410522,10.05877947807312,10.05877947807312,10.578384160995483,right,0.5040256977081299,None,,,,4,GA4,2025-08-20_15h21.08.354,mlcm_experiment_whites_illusion,,2025.1.1,59.775508924346845,2025-08-20 15h21.14.515997 +0200,
