trial,lum1,lum2,c1,c2,im,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.01114034652709961,0.015189886093139648,0.015189886093139648,0.5121457576751709,,,,,,,,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
0,0.42,0.5,1.0,1.0,imgs/white_0.42_0.5_1.0_1.0.png,0,0,0,right,0.8461434841156006,None,0,0,0,0,0.531632661819458,,,,,,0.5283372402191162,1.0266308784484863,1.0266308784484863,1.8763468265533447,right,0.8461434841156006,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
1,0.25,0.58,0.0,1.0,imgs/white_0.25_0.58_0.0_1.0.png,1,1,0,right,0.7383229732513428,None,0,1,1,1,1.8891446590423584,,,,,,1.8848395347595215,2.389925003051758,2.389925003051758,3.1439526081085205,right,0.7383229732513428,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
2,0.33,0.67,0.0,0.0,imgs/white_0.33_0.67_0.0_0.0.png,2,2,0,right,0.6144518852233887,None,0,2,2,2,3.156895160675049,,,,,,3.151693344116211,3.657644748687744,3.657644748687744,4.27747368812561,right,0.6144518852233887,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
3,0.58,0.33,1.0,1.0,imgs/white_0.58_0.33_1.0_1.0.png,3,3,0,left,0.5683701038360596,None,0,3,3,3,4.291210651397705,,,,,,4.2842185497283936,4.791975021362305,4.791975021362305,5.37885308265686,left,0.5683701038360596,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
4,0.25,0.75,0.0,1.0,imgs/white_0.25_0.75_0.0_1.0.png,4,4,0,right,0.6033575534820557,None,0,4,4,4,5.394085645675659,,,,,,5.386785268783569,5.892981052398682,5.892981052398682,6.513032674789429,right,0.6033575534820557,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
5,0.67,0.42,1.0,1.0,imgs/white_0.67_0.42_1.0_1.0.png,5,5,0,left,0.565894603729248,None,0,5,5,5,6.5296080112457275,,,,,,6.5241663455963135,7.027389764785767,7.027389764785767,7.596977233886719,left,0.565894603729248,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
6,0.5,0.33,0.0,0.0,imgs/white_0.5_0.33_0.0_0.0.png,6,6,0,left,0.7120237350463867,None,0,6,6,6,7.610800266265869,,,,,,7.603755474090576,8.111547708511353,8.111547708511353,8.8311185836792,left,0.7120237350463867,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
7,0.42,0.33,0.0,0.0,imgs/white_0.42_0.33_0.0_0.0.png,7,7,0,left,1.0545544624328613,None,0,7,7,7,8.846937656402588,,,,,,8.833812952041626,9.345709085464478,9.345709085464478,10.415910720825195,left,1.0545544624328613,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
8,0.25,0.58,0.0,0.0,imgs/white_0.25_0.58_0.0_0.0.png,8,8,0,right,0.6536035537719727,None,0,8,8,8,10.42964768409729,,,,,,10.423180341720581,10.930631875991821,10.930631875991821,11.600648880004883,right,0.6536035537719727,None,,,,2,GA2,2025-08-20_14h55.39.569,mlcm_experiment_whites_illusion,,2025.1.1,59.920854203156125,2025-08-20 14h55.45.926289 +0200,
