trial,lum1,lum2,c1,c2,im,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,thanks.started,thanksText.started,thanks.stopped,session,participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.009043216705322266,0.01273655891418457,0.01273655891418457,0.558276891708374,,,,,,,,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
0,0.42,0.5,1.0,1.0,imgs/white_0.42_0.5_1.0_1.0.png,0,0,0,right,1.1134674549102783,None,0,0,0,0,0.5793869495391846,,,,,,0.5763418674468994,1.073106050491333,1.073106050491333,2.206674337387085,right,1.1134674549102783,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
1,0.25,0.58,0.0,1.0,imgs/white_0.25_0.58_0.0_1.0.png,1,1,0,right,0.8033947944641113,None,0,1,1,1,2.220977306365967,,,,,,2.213716506958008,2.7198805809020996,2.7198805809020996,3.5401294231414795,right,0.8033947944641113,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
2,0.33,0.67,0.0,0.0,imgs/white_0.33_0.67_0.0_0.0.png,2,2,0,right,0.549656867980957,None,0,2,2,2,3.5537025928497314,,,,,,3.5469677448272705,4.054264545440674,4.054264545440674,4.608039140701294,right,0.549656867980957,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
3,0.58,0.33,1.0,1.0,imgs/white_0.58_0.33_1.0_1.0.png,3,3,0,left,0.5610978603363037,None,0,3,3,3,4.621338844299316,,,,,,4.615109205245972,5.122030019760132,5.122030019760132,5.691568851470947,left,0.5610978603363037,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
4,0.25,0.75,0.0,1.0,imgs/white_0.25_0.75_0.0_1.0.png,4,4,0,right,0.6131117343902588,None,0,4,4,4,5.7071778774261475,,,,,,5.70167875289917,6.206005811691284,6.206005811691284,6.825454235076904,right,0.6131117343902588,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
5,0.67,0.42,1.0,1.0,imgs/white_0.67_0.42_1.0_1.0.png,5,5,0,left,0.5508849620819092,None,0,5,5,5,6.841623783111572,,,,,,6.833317518234253,7.340399742126465,7.340399742126465,7.9109437465667725,left,0.5508849620819092,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
6,0.5,0.33,0.0,0.0,imgs/white_0.5_0.33_0.0_0.0.png,6,6,0,left,0.649991512298584,None,0,6,6,6,7.925963401794434,,,,,,7.9183971881866455,8.425206899642944,8.425206899642944,9.078514099121094,left,0.649991512298584,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
7,0.42,0.33,0.0,0.0,imgs/white_0.42_0.33_0.0_0.0.png,7,7,0,left,0.8183844089508057,None,0,7,7,7,9.091835021972656,,,,,,9.085082769393921,9.59259557723999,9.59259557723999,10.429144382476807,left,0.8183844089508057,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
8,0.25,0.58,0.0,0.0,imgs/white_0.25_0.58_0.0_0.0.png,8,8,0,right,0.4998786449432373,None,0,8,8,8,10.444775104522705,,,,,,10.436771869659424,10.943361043930054,10.943361043930054,11.44654130935669,right,0.4998786449432373,None,,,,3,GA3,2025-08-20_15h18.57.483,mlcm_experiment_whites_illusion,,2025.1.1,59.969774221729104,2025-08-20 15h19.03.706462 +0200,
